Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,flowerscat=1684,1,null,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,CANTERBURY,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"BELLS
 b222
Biennial, in some instances even perennial Campanula. The large, blue or white flowers gradually 'line u'p on stems up to 70 cm in height. Well suited for borders or for cutting.
Positive for pollinators: Yes"
en,flowerscat=1684,2,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,COMMON,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"FOXGLOVE
 b229
Digitalis purpurea will producea leafy rosette in the same year it is sown. In the 2nd year pink-red flowers will develop onbranch-free stems of up to 1.5 metres length. Will do well in half shade, attractive pollinator; very poisonous.
Positive for pollinators: Yes"
en,flowerscat=1684,3,null,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,DAME,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"'S VIOLET
 b223
Hesperis matronalis. This wild flower prefers to grow in semi-shade, where it will reach 40-80 cm. Its strong fragrance , particularly in the evening, is reminiscent of violets. Important food plant for a number of butterfly caterpillars.
Positive for pollinators: Yes"
en,flowerscat=1684,4,null,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",,,,,,,,SIBERIAN,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"WALLFLOWER
b221
Erysimum allionii, biennial. Bright yellow flowers in spring. Approx. 40 cm in height, easy to overwinter outside."
en,flowerscat=1684,5,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,SIBERIAN,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"WALLFLOWER 'PRIMROSE DAME'
  b224
The fragrant flowers change color from lemon yellow to light yellow, which is very attractive. After being sown in summer, the plant can be easily overwintered outdoors. It is one of the first spring flowers of the year. About 50 cm high.
Positive for pollinators: Yes"
en,flowerscat=1684,6,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,,,,,,,SUMMER,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"FORGET-ME-NOT
 b230
Compact, sun-loving plant which flowers in summer with countless gentian-blue, shiny blossoms. Very beautiful in balcony boxes or tubs. Continually deadhead to extend the flowering time. Will grow to about 20 cm high. Self-seeding in good locations."
en,flowerscat=1684,7,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,,,,,,,,SWEET,null,"WILLIAM
b227
Dianthus barbatus, well-known and popular plant for spots in full sun. Profusion of flowers in red, white, and pink.Approx. 50 cm in height."
en,flowerscat=1684,8,null,null,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,,,,,,,VIOLA,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"'ALPENGLÜHN'
 b213
Proven to be very hardy, a Viola (pansy) variety from the Swiss breeder Roggli. Plant will grow to ca. 15 cm in height and will flower from March to May. 'Alpenglühen' ('Alpine Glow') is red with a contrasting 'eye'."
en,flowerscat=1684,9,null,null,null,null,,,,,,,,VIOLA,null,"'BERNA'
b216
The flowers have a velvety dark blue appearance, somewhat less intense towards the edge. Plants will grow to ca 15 cm in height and will flower from March to May. Very hardy, proven Viola variety by the Swiss breeder Roggli."
en,flowerscat=1684,10,null,null,null,null,,,,,,,,VIOLA,null,"'BLÜEMLISALP'
b215
Pinky-red, black-faced pansy of Swiss origin (Roggli). Frost-hardy. These charming plants, roughly 15 cm high, flower from March to May."
