Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1650,1,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,green,,,,,,GOLDEN,null,"STREAK
as35
Light-green, deeply serrated leaves. Can be harvested as baby leaf salad in 3 weeks or fully mature in 6 weeks. The firm mustard leaves can be eaten raw or cooked.
Colour: green"
en,vegetablescat=1650,2,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,green,,,,,,GREEN,null,"IN SNOW
as10
Pointed, slightly serrated leaves, which can be harvested individually or as complete rosettes. Particularly suitable for sowing in the second half of the year and for growing under cover in winter.
Colour: green"
en,vegetablescat=1650,3,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,null,"Seed mat (portion content: 1 seed mat of 80x10cm): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,mixed,,,mat: Yes; ,,,MIXTURE,null,"as50
Mixture containing a diverse range of flavours. The large-leaf Red Giant variety matures a little slower, making it good for picking. Especially good for harvesting during the winter months or as an addition to a more rustic salad mix.
Colour: mixed
also available as seed mat: Yes"
en,vegetablescat=1650,4,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,null,null,,green,,,,,,MIZUNA,null,"as30
Strongly feathered, light green leaves in dense rosette. Rapid growth. Highly tolerant of low temperatures, suitable for cultivation outdoors, but in winter under cover.
Colour: green"
en,vegetablescat=1650,5,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,null,null,,red,,,,,,MOUTARDE,null,"ROUGE METIS
as40
Rapid growth. Initially dented, later more clearly serrated red leaves with green stems. Due to its attractive shape and colour this leaf mustard not only enriches the menu but also the garden.
Colour: red"
en,vegetablescat=1650,6,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,null,null,,,,,,,,PURPLE,null,"MIZUNA
as28
Red-green leafy vegetable with a mild mustardy aroma. A nice addition to salads as baby-leaf or fully grown. The intensity of the color depends on the temperature - the warmer, the darker. Plants get very voluminous and need plenty of space."
en,vegetablescat=1650,7,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,null,null,,,,,,,,PURPLE,null,"OSAKA
as25
Mustard herb with vigorous growth and large, red-green leaves. Young leaves are milder and can be eaten as baby-leaf in salad; fully ripe leaves can be cooked. Grows especially well in the cooler season. Hardy."
en,vegetablescat=1650,8,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,null,null,,red,,,,,,RED,null,"GIANT
as20
Large pointed leaves with red veins. Versatile for use in salad or for adding to spinach. Pleasant aroma, but with increasing pungency with age. Highly tolerant of low temperatures.
Colour: red"
en,vegetablescat=1650,9,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,null,null,,,,,,,,NEW,null,"TOKYO BEKANA
as38
Slightly crinkly, somewhat raggedy leaves. Big leaves can be used for cooking, young leaves are also good as an addition to cut-and-come-again salads. Unusually the taste is spicy but rather sweet and mild. This mustard herb can be overwintered with some protection."
en,vegetablescat=1650,10,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,green,,,,,,WASABINO,null,"as15
Light-green, lacy-edged, curly leaves. The aromatic, slightly pungent flavor is reminiscent of horseradish and adds a fresh note to salads. Cold resistant. Ready to harvest in 3 weeks for baby leaf salad.
Colour: green"
