Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1652,1,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",bush shell bean,,,,,,,BLACK,null,"bo14
Vigorous bean for dry seed use. Pods shortish, broad and stringy. Late ripening into attractive small round black seeds. Creamy and nutty flavour.
Type: bush shell bean"
en,vegetablescat=1652,2,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,bush shell bean,,,,,,,NEW,null,"BLACK TURTLE
bo15
Early, high-yielding, black shell bean with a nice flavor. Bushy growth. Shows very good resistance to rust and bean mosaic virus. Sclerotinia-resistant. Improved variant of the original Black Turtle variety.
Type: bush shell bean"
en,vegetablescat=1652,3,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",climbing bean,,,,,,,BLAUHILDE,null,"bo70
Early-ripening, abundantly producing variety for unprotected propagation. Blauhilde's round pod are blue to purple, fleshy and thick. The pods are tasty and turn dark green when cooked.
Type: climbing bean"
en,vegetablescat=1652,4,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,climbing shell bean,,,,,,,BORLOTTO,null,"LAMON
bo79
Climbing shell bean with a superb flavor. The freshly shelled beans are delicious but can also be dried like any other Bortlotti bean. Shell beans are robust but require sufficient warmth to ripen.
Type: climbing shell bean"
en,vegetablescat=1652,5,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,bush shell bean,,,,,,,BORLOTTO,null,"MERCATO OL
bo06
Red and beige speckled dwarf bean with uniformly shaped pods. The 6–8 beans per pod are round and shiny with red stripes. Sturdy, straight-growing, consistently maturing, heat-tolerant plants.
Type: bush shell bean"
en,vegetablescat=1652,6,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,bush shell bean,,,,,,,BORLOTTO,null,"ROSSO
bo08
Shell bean with green pods, speckled with red. Shell beans are robust and undemanding but need enough warmth for maturation.
Type: bush shell bean"
en,vegetablescat=1652,7,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,bush shell bean,,,,,,,CANADIAN,null,"WONDER
bo16
Vigorously-growing bean for dry seed use. Young green tender pods tasty, too, but mostly grown for their deep red seeds.
Type: bush shell bean"
en,vegetablescat=1652,8,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,filet bush bean,,,,,,,CANTARE,null,"bo47
Good cropping bean, stands up well, round pods of approx. 8 mm diameter. Resistant to bean mosaic virus 1 and bean anthracnose.
Type: filet bush bean"
en,vegetablescat=1652,9,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,bush wax bean,,,,,,,CRESO,null,"bo43
Attractive pale yellow wax bean. The long, pencil-thin pods are string-free. This early ripening and vigorous bush bean can be harvested for a long time.
Type: bush wax bean"
en,vegetablescat=1652,10,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,filet bush bean,,,,,,,NEW,null,"CUPIDON
bo54
Fast growing and good cropping French variety. Can be harvested young as filet bean, or later as stringless pod bean. Easy to harvest. Resistant to bean mosaic virus 1 and bean anthracnose.
Type: filet bush bean"
