Category,Subcategory,Product URL,Additional XPath Data 1,Additional XPath Data 2
en,vegetablescat=1678,https://www.sativa.bio/en/alberello-di-sarzana-prospecierara-zu26,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.","ALBERELLO DI SARZANA
 zu26
A traditional courgette-variety from Italy, fruit light-green coloured, slightly marbled. Pleasant taste, nicely smooth flesh. Open growth habit, high-yielding.
Colour: light green
Fruit shape: cylindrical"
en,vegetablescat=1678,https://www.sativa.bio/en/black-beauty-zu14,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0","BLACK BEAUTY
zu14
Medium-early, heavy.cropping variety with longish, bright green fruit. Vigorous growth, short internodes. Successive sowing recommended.
Colour: dark green
Fruit shape: cylindrical"
en,vegetablescat=1678,https://www.sativa.bio/en/costata-romanesco-prospecierara-zu24,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.","COSTATA ROMANESCO
 zu24
Traditional variety from Italy with excellent taste. Green fruit with yellow, slightly elevated longitudinal stripes.
Colour: dark green
Fruit shape: cylindrical-club-shaped"
en,vegetablescat=1678,https://www.sativa.bio/en/inizia-sat-28-bioverita-zu27,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
Bioverita: This variety is an organic, newly bred, variety. It has been cultivated from the very outset in organic conditions, to best adapt to organic cultivation. Varieties that carry the Bioverita label are reproducible and fertile, and aim to offer an alternative to hybrid-seeds to professional gardeners.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.","NEW
INIZIA (SAT 28)
 zu27
Early high-yield Sativa variety with a very long harvest window. Slightly sweet, nutty and harmonious taste.
Colour: medium green
Fruit shape: cylindrical"
en,vegetablescat=1678,https://www.sativa.bio/en/mutabile-zu12,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.","MUTABILE
zu12
Bushy plants with strongly marbled leaves. Heavy-cropping, stays healthy for a long time. Dark-green, longish fruit, which are easy to harvest. Resistant to mildew.
Colour: medium green
Fruit shape: cylindrical"
en,vegetablescat=1678,https://www.sativa.bio/en/round-from-nice-prospecierara-zu16,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.","ROUND FROM NICE
 zu16
Bushy plants with round, light-green fruit, which should be harvested when young (size of a tennis ball). If fully grown ca. 500- 1.5 kg in weight. Limited storage capability.
Colour: light green
Fruit shape: round"
en,vegetablescat=1678,https://www.sativa.bio/en/selection-sativa-zu13,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.","SELECTION SATIVA
zu13
Bushy, early courgette with yellow, very tender-skinned fruit. Open growth habit. Cultivate in same way as any green variety. Variety bred by Sativa.
Colour: yellow
Fruit shape: cylindrical"
en,vegetablescat=1678,https://www.sativa.bio/en/tondo-di-piacenza-prospecierara-zu17,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.","TONDO DI PIACENZA
 zu17
The Italian version of Ronde de Nice produces round, tasty fruit with a dark skin. Harvest in time, otherwise they will become too big.
Colour: dark green
Fruit shape: round"
en,vegetablescat=1678,https://www.sativa.bio/en/verte-des-maraichers-prospecierara-zu25,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.","VERTE DES MARAÎCHERS
 zu25
Traditional variety from the Lake Geneva region. Green, club-shaped fruit. In contrast to most other courgette varieties, the leaves have smooth edges.
Colour: dark green
Fruit shape: club-shaped"
en,vegetablescat=1678,https://www.sativa.bio/en/zapallito-zu23,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0","ZAPALLITO
zu23
The round green fruits should be picked young, but leave more space between plants: 150 x 120 cm. The green round fruits are harvested young (tennis ball size). Does not climb, can tolerate dry spells, high-yielding, tasty.
Colour: dark green
Fruit shape: round"
