Category,Subcategory,Product URL,Additional XPath Data 1,Additional XPath Data 2
en,vegetablescat=1677,https://www.sativa.bio/en/206-tt-zs71,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
Explanations
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.","206 TT
zs71
Uniform, compact heads of 18-22 cm height. ´Dark-red Treviso with large white component. Ready for harvest 80-90 days after planting. Heads will keep well in cold storage until mid-February.
Colour: red
Harvest: autumn
Type: for harvesting in autumn, radicchio Treviso"
en,vegetablescat=1677,https://www.sativa.bio/en/4050-tt-zs64,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0","4050 TT
zs64
Very high-yield and homogeneous variety weighing 350-400g. Ready for harvesting approx. 90 days after planting. Dark red leaves with narrow, white leaf veins.
Colour: red
Harvest: autumn
Type: for harvesting in autumn and storage, radicchio Chioggia (Palla rossa)"
en,vegetablescat=1677,https://www.sativa.bio/en/506-tt-zs66,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
Explanations
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.","506 TT
zs66
Variety with an unusual red colour, which ripens uniformly. Harvest time is November, approx. 100-110 days after planting. Heads suitable for fresh consumption or for cold storage.
Colour: red
Harvest: autumn
Type: for harvesting in autumn and storage, radicchio Chioggia (Palla rossa)"
en,vegetablescat=1677,https://www.sativa.bio/en/706-tt-zs68,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
Explanations
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.","706 TT
zs68
Very late variety of the Chioggia-Type with intense red color. Very resistant to cold. The heads can be harvested in the field into late autumn. Good and long suitable for cool storage. Harvest 115-125 days after not too late planting.
Colour: red
Harvest: autumn
Type: for harvesting in late autumn and storage, radicchio Chioggia (Palla rossa)"
en,vegetablescat=1677,https://www.sativa.bio/en/aurelia-tt-zs51,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
Explanations
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.","AURELIA TT
zs51
Forms compact bushy plants.Leaves are reminiscent of dandelion, will grow up to 60 cm in length. Fast growing leaves can be harvested individually, and can be consumed raw or cooked.
Colour: green
Harvest: autumn
Type: leaf chicory for autumn harvest"
en,vegetablescat=1677,https://www.sativa.bio/en/bubikopf-2-zs27,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0","BUBIKOPF 2
zs27
Rim not serrated, with well-filled core. Does not mind frost, slow to bolt. Suitable for cultivation outside, or in greenhouse or polytunnel. Can also be grown at temperatures above 18°C under fleece.
Colour: green
Harvest: autumn
Type: smooth-leaved"
en,vegetablescat=1677,https://www.sativa.bio/en/castelfranco-zs87,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
Explanations
Pelleted seeds (pills). The seeds are coated with mineral fillers. The aim is to standardise size and shape to facilitate (technical) sowing. The biocompatible pills are sold per piece.","CASTELFRANCO
zs87
A special type of radicchio called the ‘edible rose’ because of its beautiful shape. Rosetted heads with creamy white spreading leaves speckled with red. The refreshing and delicate taste ranges from sweet to pleasantly bitter. Ready to harvest 85-90 days after planting.
Colour: red
Harvest: autumn
Type: Variegata di Castelfranco"
en,vegetablescat=1677,https://www.sativa.bio/en/di-bruxelles-zs14,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1","DI BRUXELLES
zs14
Improved variant of the DURA variety. Variety for harvesting of shoots, from December to March. Will form heavy, firm shoots in low temperatures. A speciality, with a fine taste.
Colour: white-yellow
Harvest: winter (after forcing)"
en,vegetablescat=1677,https://www.sativa.bio/en/etardo-ks-zs12,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0","ETARDO KS
zs12
Endive with firm, heavy heads. Medium-late and late forcing in soil recommended. Developed from Tardivo. Delicious, pure taste.
Colour: white-yellow
Harvest: winter (after forcing)"
en,vegetablescat=1677,https://www.sativa.bio/en/fenice-tt-zs86,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Harvest
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0","FENICE TT
zs86
This unusual radicchio is sometimes called ‘edible rose’ due to its beautiful appearance. Rosette-like heads with long, creamy white leaves delicately flecked with red. Sweet, slightly bitter, delicate flavour. Ready for harvesting 85-90 days after planting.
Colour: red
Harvest: autumn
Type: Variegata di Castelfranco"
