Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1660,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: orange; ,,,BISHOP,null,"'S HAT
kü12
Also known as Turk's Turban. Thanks to its characteristic shape, very attractive - but can be eaten, too. Climbing habit.
Flesh: orange"
en,vegetablescat=1660,2,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: yellow-orange; ,,,BLUE,null,"BALLET
kü14
Smallish fruit, grey-green, climbing habit. Flesh is yellow-orange in colour, and has a distinct taste of sweet chestnuts. Keeps well in storage.
Flesh: yellow-orange"
en,vegetablescat=1660,3,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",,,,,Flesh: yellow; ,,,BUSH,null,"DELICATA
 kü50
Grows like a bush, i.e. courgette-like. Fruit small, elongated, with yellow-green stripes. Connoisseurs consider this to be one of the best tasting squashes. Does not require much space due to its bush-shape.
Flesh: yellow"
en,vegetablescat=1660,4,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: orange; ,,,BUTTERCUP,null,"kü16
Fruit has dark-green tough skin. Flesh is bright orange, with creamy consistency and somewhat nutty flavour. Climbing habit. Keeps well in storage.
Flesh: orange"
en,vegetablescat=1660,5,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: yellow-orange; ,,,BUTTERNUT,null,"kü43
Tasty variety, fruit beige-brown, characteristic trumpet-like shape. Flesh yellow-orange. Storage medium to good. Climbing.
Flesh: yellow-orange"
en,vegetablescat=1660,6,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,DECORATIVE,null,"GOURD MIXTURE
kü72
Blend of a variety of small, decorative fruit of assorted colours. Climbing habit. Not edible."
en,vegetablescat=1660,7,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: orange; ,,,FICTOR,null,"DB
kü22
Creeping squash variety with rather small fruits and excellent suitability for storage. Bright orange-red squash which keeps extremely well. Nice, even, round fruits. Early ripening. Tend to be undersized under unfavorable growing conditions.
Flesh: orange"
en,vegetablescat=1660,8,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: dark orange; ,,,FLAT,null,"WHITE BOER
kü33
Traditional, strong-stemmed variety from South Africa. A white-skinned, flat and slightly ribbed pumpkin with firm, sweet golden flesh. Delicious in all types of pumpkin dishes.
Flesh: dark orange"
en,vegetablescat=1660,9,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: orange; ,,,GOLDEN,null,"HUBBARD
kü23
Very firm fruit of medium size, skin and flesh orange. Keeps very well in store. Climbing habit.
Flesh: orange"
en,vegetablescat=1660,10,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: yellow-orange; ,,,GREEN,null,"HOKKAIDO
kü20
Somewhat smaller, tasty fruit, green skin, yellow flesh. Hokkaido type. Keeps well in storage. Climbing habit.
Flesh: yellow-orange"
en,vegetablescat=1660,11,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,Flesh: dark orange; ,,,HONEYNUT,null,"kü42
Small butternut squash variety, slow to ripen fully, but a prolific cropper. In addition it has extremely sweet-tasting orange flesh. Skin tough, which aids healthy growth. Resistant to powdery mildew.
Flesh: dark orange"
