Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,vegetablescat=1676,1,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",for peeling,,7 cm,,,,,AMISH,null,"PASTA
 to88
Tall-growing late-cropping variety. Very aromatic fruit for making sauces, but also for fresh consumption. Large, elongated fruit of somewhat variable shape.
Ø fruit: 7 cm
Type: for peeling"
en,vegetablescat=1676,2,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,null,regular fruit,,6 cm,,,,,ANNELIES,null,"to66
Tasty, high-yielding variety. Attractive, evenly-sized tomatoes. Vigorous and open growth. Organic bred variety.
Ø fruit: 6 cm
Type: regular fruit"
en,vegetablescat=1676,3,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",regular fruit,,6 cm,,,,,AURIGA,null,"to12
Tomato for outdoor cultivation, round, split-free fruit, tasty. Bright orange-coloured fruit, decorative.
Ø fruit: 6 cm
Type: regular fruit"
en,vegetablescat=1676,4,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",plum tomato,,3 x 5 cm,,,,,BASELBIETER,null,"RÖTELI
 to11
Elongated, small, light-red fruit, very tasty, but limited in number. Low juice content. Plants grow vigorously, somewhat susceptible to yellow shoulders, hence the need to let the fruit ripen completely.
Ø fruit: 3 x 5 cm
Type: plum tomato"
en,vegetablescat=1676,5,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.",beefsteak,,8 cm,,,,,BELMONTE,null,"to34
Very well-known in Italy, this beefsteak variety originates from the Belmonte village in Calabria. Flat, cushion-shaped, crimson, slightly ridged tomatoes with excellent taste. Fully ripe at approximately the same time as Bernese Rose tomato. Fruit can grow quite large.
Ø fruit: 8 cm
Type: beefsteak"
en,vegetablescat=1676,6,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",beefsteak,,7 cm,,,,,BERNESE,null,"ROSE
 to42
Well-known, medium-late variety with excellent taste. Large, slightly pink fruit with thin skin. Protection against rain highly recommended.
Ø fruit: 7 cm
Type: beefsteak"
en,vegetablescat=1676,7,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",cherry,,3 cm,,,,,BLACK,null,"CHERRY
 to16
Outdoor variety. Prolific cropper. Cherry tomato producing plenty of dark-red to black fruit. Excellent aroma.
Ø fruit: 3 cm
Type: cherry"
en,vegetablescat=1676,8,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",plum tomato,,4 cm,,,,,BLACK,null,"PLUM
 to10
Dark-red egg-shaped tomato. Fruit have dark green collar from where fruit sits on the stem. During ripening will turn to dark brown. Crops well, does not split. Plants grow vigorously.
Ø fruit: 4 cm
Type: plum tomato"
en,vegetablescat=1676,9,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",beefsteak,,8 cm,,,,,BLACK,null,"PRINCE
 to86
Slender cordon varitey with large, round-oval, grooved, garnet-red to black beefsteak tomatoes. Excellent taste, robust plants.
Ø fruit: 8 cm
Type: beefsteak"
en,vegetablescat=1676,10,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,"Conservation Breeding: For this variety Sativa practices conservation breeding in Rheinau. To ensure high-quality varieties, they must be maintained. They are regularly replicated and selected by their positive characteristics. In doing so the varieties are continually improved and adapted to growing conditions.",beefsteak,,6 cm,,,,,BLACK,null,"ZEBRA
to46
Juicy, tasty, red fruits with longitudinal stripes of light-green and dark-green.
Ø fruit: 6 cm
Type: beefsteak"
