Category,Subcategory,Product URL,Additional XPath Data 1,Additional XPath Data 2
en,green-manures,https://www.sativa.bio/en/alfalfa-gr25,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","ALFALFA
gr25
Perennial, valuable green manure and fodder plant. Particularly deep rooting. Fixes nitrogen and opens up soil for following crops. Grows even in dry conditions. Great for insects, too.
Beemeadow: Yes
Height: 100 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,https://www.sativa.bio/en/annual-beneficial-insect-strip-for-brassica-gr54,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
0 0 1 1
1 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","ANNUAL BENEFICIAL INSECT STRIP FOR BRASSICA
gr54
Flower strips next to cabbage fields promote beneficial insects, biologically control pests, increase pollinator biodiversity and provide pollen, nectar and protection. Important contribution to ecological balance.
Beemeadow: Yes
Height: 60-120 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,https://www.sativa.bio/en/apero-for-bees-gr56,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","APÉRO FOR BEES
gr56
Simple, fast-growing wildflower mix. This mix of wildflowers and herbs from Swiss ecotypes (harvested in the wild or propagated in Switzerland) provides an abundant source of nutrition for pollinators and other beneficial organisms. Partially dies off in winter.
Beemeadow: Yes
Height: 20-120 cm
Positive for pollinators: Yes"
en,green-manures,https://www.sativa.bio/en/astera-gr09,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","ASTERA
 gr09
Neutral blend useful before spring cultivation. Composed of pulses, clovers and grasses, this mix is highly effective in fixing nitrogen in soil and the formation of humus.
Beemeadow: Yes
Height: 40-100 cm
Positive for pollinators: Yes"
en,green-manures,https://www.sativa.bio/en/beemeadow-mellifera-gr59,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","BEEMEADOW 'MELLIFERA'
 gr59
Mix of annual herbs and flowers, recommended by Mellifera e.V. A rich buffet of nectar and pollen for bumblebees, butterflies, honey bees and solitary bees. Ideal for small open spaces and isolated flowerbeds in gardens, with the added benefit of improving soil fertility.
Beemeadow: Yes
Height: 50-120 cm
Positive for pollinators: Yes"
en,green-manures,https://www.sativa.bio/en/beemeadow-tuebingen-blend-gr57,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","BEEMEADOW TUEBINGEN BLEND
 gr57
Fast cover crop mixture with long lasting flower components: Phacelia, buckwheat, mustard, coriander, marigold, nigella, fodder radish, corn flower, malva sylvestris, dill, borage.
Beemeadow: Yes
Height: 40-120 cm
Positive for pollinators: Yes"
en,green-manures,https://www.sativa.bio/en/beluga-lentils-gr42,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","BELUGA LENTILS
 gr42
Legume for growing on poor, calcareous, well-prepared soils. Drought-tolerant For the production of black lentils, sow from March, usually with a cereal supporting crop. Higher seed density has a positive effect on yield and weed suppression. Harvest is a bit tricky.
Beemeadow: Yes
Positive for pollinators: Yes
Suitable for food production: Yes"
en,green-manures,https://www.sativa.bio/en/biodiversity-mix-f163,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","BIODIVERSITY MIX
 f163
Species-rich mixture with a high proportion of legumes to promote microbial diversity in the soil. Attracts beneficial insects. Loosens the soil and suppresses diseases.
Beemeadow: Yes
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,https://www.sativa.bio/en/birdsfoot-trefoil-gr28,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","BIRDSFOOT TREFOIL
 gr28
Deep rooting, perennial green manure plant. Fixes nitrogen. Height 5-30 cm. Particularly suited for chalky ground. Tolerant of cold and drought. Beneficial to a wide variety of insects.
Beemeadow: Yes
Height: 30-40 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,https://www.sativa.bio/en/black-medick-gr32,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","BLACK MEDICK
 gr32
Annual to perennial, early flowering species, also known as hop clover. For limy soil and warmer, rather dry climate. Good as green manure or as underseed for vegetables or grains. Fast-growing but weak in competition from the second use.
Beemeadow: Yes
Height: 30-40 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
