Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,green-manures,1,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; Height: 100 cm; pollinators: Yes; incorporation: Yes; ,,,ALFALFA,null,"gr25
Perennial, valuable green manure and fodder plant. Particularly deep rooting. Fixes nitrogen and opens up soil for following crops. Grows even in dry conditions. Great for insects, too.
Beemeadow: Yes
Height: 100 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,2,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; Height: 60-120 cm; pollinators: Yes; incorporation: Yes; ,,,ANNUAL,null,"BENEFICIAL INSECT STRIP FOR BRASSICA
gr54
Flower strips next to cabbage fields promote beneficial insects, biologically control pests, increase pollinator biodiversity and provide pollen, nectar and protection. Important contribution to ecological balance.
Beemeadow: Yes
Height: 60-120 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,3,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; Height: 20-120 cm; pollinators: Yes; ,,,FOR,null,"BEES
gr56
Simple, fast-growing wildflower mix. This mix of wildflowers and herbs from Swiss ecotypes (harvested in the wild or propagated in Switzerland) provides an abundant source of nutrition for pollinators and other beneficial organisms. Partially dies off in winter.
Beemeadow: Yes
Height: 20-120 cm
Positive for pollinators: Yes"
en,green-manures,4,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; Height: 40-100 cm; pollinators: Yes; ,,,ASTERA,null,"gr09
Neutral blend useful before spring cultivation. Composed of pulses, clovers and grasses, this mix is highly effective in fixing nitrogen in soil and the formation of humus.
Beemeadow: Yes
Height: 40-100 cm
Positive for pollinators: Yes"
en,green-manures,5,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; Height: 50-120 cm; pollinators: Yes; ,,,BEEMEADOW,null,"'MELLIFERA'
 gr59
Mix of annual herbs and flowers, recommended by Mellifera e.V. A rich buffet of nectar and pollen for bumblebees, butterflies, honey bees and solitary bees. Ideal for small open spaces and isolated flowerbeds in gardens, with the added benefit of improving soil fertility.
Beemeadow: Yes
Height: 50-120 cm
Positive for pollinators: Yes"
en,green-manures,6,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,"components: Phacelia, buckwheat, mustard, coriander, marigold, nigella, fodder radish, corn flower, malva sylvestris, dill, borage.; Beemeadow: Yes; Height: 40-120 cm; pollinators: Yes; ",,,BEEMEADOW,null,"TUEBINGEN BLEND
 gr57
Fast cover crop mixture with long lasting flower components: Phacelia, buckwheat, mustard, coriander, marigold, nigella, fodder radish, corn flower, malva sylvestris, dill, borage.
Beemeadow: Yes
Height: 40-120 cm
Positive for pollinators: Yes"
en,green-manures,7,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; pollinators: Yes; production: Yes; ,,,BELUGA,null,"LENTILS
 gr42
Legume for growing on poor, calcareous, well-prepared soils. Drought-tolerant For the production of black lentils, sow from March, usually with a cereal supporting crop. Higher seed density has a positive effect on yield and weed suppression. Harvest is a bit tricky.
Beemeadow: Yes
Positive for pollinators: Yes
Suitable for food production: Yes"
en,green-manures,8,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; pollinators: Yes; incorporation: Yes; ,,,BIODIVERSITY,null,"MIX
 f163
Species-rich mixture with a high proportion of legumes to promote microbial diversity in the soil. Attracts beneficial insects. Loosens the soil and suppresses diseases.
Beemeadow: Yes
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,9,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; Height: 30-40 cm; pollinators: Yes; incorporation: Yes; ,,,BIRDSFOOT,null,"TREFOIL
 gr28
Deep rooting, perennial green manure plant. Fixes nitrogen. Height 5-30 cm. Particularly suited for chalky ground. Tolerant of cold and drought. Beneficial to a wide variety of insects.
Beemeadow: Yes
Height: 30-40 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
en,green-manures,10,null,null,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,Beemeadow: Yes; Height: 30-40 cm; pollinators: Yes; incorporation: Yes; ,,,BLACK,null,"MEDICK
 gr32
Annual to perennial, early flowering species, also known as hop clover. For limy soil and warmer, rather dry climate. Good as green manure or as underseed for vegetables or grains. Fast-growing but weak in competition from the second use.
Beemeadow: Yes
Height: 30-40 cm
Positive for pollinators: Yes
Well suited for manual incorporation: Yes"
