Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,herbs,1,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,NEW,null,"BASIL RUSTIK
 kr84
Very aromatic basil with large, convex leaves. Tolerant of being cut and mildew resistant.
Positive for pollinators: Yes"
en,herbs,2,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Seed disk (portion content: 5 seed discs of ø10cm): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,,,,disk: Yes; ,,,BASIL,null,", LARGE-SIZED LEAF
kr01
The most famous Italian basil. Large, dark-green, curved leaves with the typical aroma. Given sufficient warmth, it will grow quickly and is relatively robust. Cultivate in bunches or as individual plants.
also available as seed disk: Yes"
en,herbs,3,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,BASIL,null,", MID-SIZED LEAF
kr03
Strongly-aromatic herb which requires warmth to thrive. Too much rain and temperatures below 8°C will lead to leaf discolouration. Transplant in small bunches. Leaves of medium-large size. Good aroma, fairly strong plant growth."
en,herbs,4,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,BASIL,null,", RED LEAF
kr04
Decorative basil with dark red leaves and good aroma. Very suitable for kitchen use, but growth slower than green variety. Otherwise identical with Large Leave Basil. Should be grown in protected environment if possible."
en,herbs,5,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"ProSpecieRara: This variety has been awarded by ProSpecieRara as a rare or old variety. ProSpecieRara is a foundation dedicated to preserving the diversity of rare plant varieties. In long-term cooperation with ProSpecieRara, Sativa is active in the important preservation and cultivation of these traditional varieties.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,BLUE,null,"FENUGREEK
  kr72
Annual/biennial clover with light-blue flowers. Will grow to 80 cm in height, cut and come again. Leaves are used in the making of cheese, or as manure for the garden. Great for insects, too.
Positive for pollinators: Yes"
en,herbs,6,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,BORAGE,null,"kr11
Culinary herb for multiple uses, grows quickly. In good soil, can grow to 1 metre in height. Leaves and blue flowers for use in salads. Excellent bee plant, flowers until first frosts.
Positive for pollinators: Yes"
en,herbs,7,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,CALAMINTHA,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"WHITE CLOUD
 kr63
Aromatic greater calamint with fragrant white flowers. This compact frost-tolerant perennial grows approx. 20 cm high and does well in sunny rock gardens. Very tasty in drinks and teas.
Positive for pollinators: Yes"
en,herbs,8,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,CARAWAY,null,"kr25
Biennial culinary herb. Will only grow a rosette in the first year, but in the second year brilliant white flowers emerge, followed by the typical seeds, which will ripen in July."
en,herbs,9,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,null,"Seed disk (portion content: 5 seed discs of ø10cm): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,,,,disk: Yes; ,,,CHERVIL,null,"kr22
Annual, or if sown in August biennial plant for culinary use. Direct sowing preferable. Will quickly grow lanky in hot temperatures, hence successive sowings are best.
also available as seed disk: Yes"
en,herbs,10,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Seed disk (portion content: 5 seed discs of ø10cm): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,,,,disk: Yes; ,,,CHIVES,null,"kr51
Start off, and transplant in bunches. In order to be able to harvest the leaves over a long period, part of the leaves have to be cut prior to flowering. Chives are good for forcing if the root ball has been frozen hard.
also available as seed disk: Yes"
en,herbs,11,0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,CILANTRO,null,"kr24
Aromatic leaves which have a very distinctive lemony and fresh aroma. More bolt-resistant than seed coriander. Particularly suitable for enhancing Asian and South American dishes."
en,herbs,12,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,CINNAMON,null,"BASIL
kr08
Basil with large leaves and small decorative purple-coloured flowers. Aromatic, with a hint of cinnamon flavour."
en,herbs,13,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,CLARY,null,"SAGE
 kr32
Salvia sclarea, grows up to 1 metre in height. Biennial to perennial. Strong panicle will come up in the 2nd year, with pink-red tall leaves and pale purple flowers. Has been cultivated since antiquity as a medicinal and culinary herb.
Positive for pollinators: Yes"
en,herbs,14,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,COCHLEARIA,null,"kr29
Common Scurvygrass, a valuable frost hardy, rich-in-vitamins culinary herb for winter. Pick straight from the open field. Strong aroma, good to add to salads."
en,herbs,15,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Seed disk (portion content: 5 seed discs of ø10cm): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,,,,disk: Yes; ,,,CORIANDER,null,"kr23
Annual, or if sown in mild regions in autumn biennial culinary herb. Will grow to ca. 1 m in height. If required for seed, directly sow in spring. Seeds will ripen in August/September. Variety for seed production.
also available as seed disk: Yes"
en,herbs,16,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,Precision seeds: The seeds are calibrated and have an increased germination capacity. The seeds are sold per piece.,,,,,,,,CURLED,null,"PARSLEY 'GRÜNE PERLE'
kr30
Reliable finely-curled parsley. Produces dense dark green 'cushions' of leaves on strong stems. Grows quickly and profusely. For use in the kitchen garden, propagation on seed trays is recommended."
en,herbs,17,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.
Seed disk (portion content: 5 seed discs of ø10cm): This item is available in a special form for simple gardening. Here the seeds are fixed at appropriate distances between two thin pieces of carrier paper. To sow, this is then buried directly in the ground. The annoying job of separating or pricking out seedlings is no longer necessary. Whatever the variety, there are models for balcony planters, pots, or a row seeder.",,,,,pollinators: Yes; disk: Yes; ,,,DILL,null,"kr15
Versatile kitchen herb. Direct seeding preferable. Best to sow straight into the ground, although young plants are somewhat susceptible to slug damage. Same location should not be used too often.
Positive for pollinators: Yes
also available as seed disk: Yes"
en,herbs,18,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,DRAGON,null,"'S HEAD
 kr74
Plant grown for use as a herbal tea, 30-50 cm in heigth. The leaves have an aroma similar to mint, but with a nice lemon flavour too. Attractive purple inflorescences appear in July and August. Flowers are edible, and very attractive to bees.
Positive for pollinators: Yes"
en,herbs,19,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,null,,,,,,,,EDIBLE,null,"FLOWERS
kr80
This mixture contains borage, nasturtium, cornflower, calendula, marigold, and chrysanthemum. These plants can be sown together in one bed - mix seeds well."
