Category,Subcategory,Product URL,Additional XPath Data 1,Additional XPath Data 2
en,medicinal-plants,https://www.sativa.bio/en/althaea-officinalis-hp04,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","ALTHAEA OFFICINALIS
 hp04
Hardy, easy to care for perennial with delicate, fragrant flowers, a must-have in a cottage gardens. Combines well with other plants. Valued in naturopathy as the ‘cough herb’.
Use: Root and blossoms for tea
Positive for pollinators: Yes"
en,medicinal-plants,https://www.sativa.bio/en/angelica-hp14,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","ANGELICA
 hp14
Medicinal plant that is ideal as a specimen perennial. The two-year-old plant grows to the height of a person and smells pleasantly aromatic. Great for bees and other insects. Due to slow germination patience is required. Direct sowing in summer works best.
Use: Root (herb bitters, smoking), young stems as wild vegetables
Positive for pollinators: Yes"
en,medicinal-plants,https://www.sativa.bio/en/artemisia-absinthium-hp19,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.","ARTEMISIA ABSINTHIUM
hp19
Perennial, herbaceous composite plant with silver-gray, feathery foliage and small, yellow flowers. Up to 150 cm tall. Traditional medicinal plant with a high content of bitter substances that can support digestive processes. Drought-tolerant Frost-hardy.
Use: Herbal tea"
en,medicinal-plants,https://www.sativa.bio/en/bittersweet-nightshade-hp64,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","BITTERSWEET NIGHTSHADE
 hp64
Important perennial medicinal plant, will grow to approx. 80 cm in height. Flowers from 2nd year onwards. Loves full sun. Owing to fungal infection risk (fusarium), maintain long term crop rotation. Cultivation and transplanting in small clumps is recommended.
Positive for pollinators: Yes"
en,medicinal-plants,https://www.sativa.bio/en/black-henbane-hp46,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.","BLACK HENBANE
hp46
Solanaceous plant about 60 cm high, producing dainty, funnel-shaped flowers and attractive seed heads with small capsules in autumn. Since ancient times it has been used as a medicinal and poisonous plant and also as a 'witch plant' because of its intoxicating effect."
en,medicinal-plants,https://www.sativa.bio/en/chamomile-matricaria-kr21,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","CHAMOMILE MATRICARIA
 kr21
Annual, if sown in August biennial plant for medicinal use or for tea. Grows to approx. 50 cm in height. Can be directly sown, but propagation and later transplanting in small clumps is highly recommended.
Positive for pollinators: Yes"
en,medicinal-plants,https://www.sativa.bio/en/cotton-thistle-hp58,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","COTTON THISTLE
 hp58
Biennial Mediterranean composite plant which can reach heights of up to 3 m. The flower base and stems are edible. Roots and leaves are used as a tea in naturopathy. Good insect pasture, seeds rich in oil which serve as food for birds. Pre-sow or sow directly.
Use: whole plant
Positive for pollinators: Yes"
en,medicinal-plants,https://www.sativa.bio/en/dandelion-kr31,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
1 1 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.","DANDELION
 kr31
Natural, wild variety. Strong-tasting salad leaves from 2nd year on. Can be blanched and forced. Flowers from the 2nd year onwards. Medicinal herb, used for biodynamic preparations.
Positive for pollinators: Yes"
en,medicinal-plants,https://www.sativa.bio/en/deadly-nightshade-hp22,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Outdoor sowing
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.","DEADLY NIGHTSHADE
hp22
Persistent, herbaceous member of the solanum family, all parts of the plant are highly poisonous. This decorative wild and medicinal plant, up to 1.5 m high, with its black cherry-shaped berries, does well in shadier locations. Propagate from April on.
Use: flowering herb"
en,medicinal-plants,https://www.sativa.bio/en/dwarf-nettle-hp74,"Sowing calendar
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
Indoor sowing
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Bloom
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 1 1 1
1 1 1 1
1 1 1 1
1 1 1 1
0 0 0 0
0 0 0 0
0 0 0 0
Explanations
Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.","NEW
DWARF NETTLE
hp74
Annual medicinal plant with a variety of uses, also like spinach in the kitchen. More piquant than its big sibling. Provides nutrient-rich material for mulching.
Use: leaves, seeds"
