Category,Subcategory,ID,Indoor Sowing,Outdoor sowing,Harvest,Explanations,Type,Colour,Fruit Size,Use,Other Attributes,Shape,Fruit Weight,Name,Bloom,Description
en,medicinal-plants,1,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,Root and blossoms for tea,pollinators: Yes; ,,,ALTHAEA,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"OFFICINALIS
 hp04
Hardy, easy to care for perennial with delicate, fragrant flowers, a must-have in a cottage gardens. Combines well with other plants. Valued in naturopathy as the ‘cough herb’.
Use: Root and blossoms for tea
Positive for pollinators: Yes"
en,medicinal-plants,2,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,"Root (herb bitters, smoking), young stems as wild vegetables",pollinators: Yes; ,,,ANGELICA,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"hp14
Medicinal plant that is ideal as a specimen perennial. The two-year-old plant grows to the height of a person and smells pleasantly aromatic. Great for bees and other insects. Due to slow germination patience is required. Direct sowing in summer works best.
Use: Root (herb bitters, smoking), young stems as wild vegetables
Positive for pollinators: Yes"
en,medicinal-plants,3,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.,,,,Herbal tea,,,,ARTEMISIA,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"ABSINTHIUM
hp19
Perennial, herbaceous composite plant with silver-gray, feathery foliage and small, yellow flowers. Up to 150 cm tall. Traditional medicinal plant with a high content of bitter substances that can support digestive processes. Drought-tolerant Frost-hardy.
Use: Herbal tea"
en,medicinal-plants,4,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,BITTERSWEET,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"NIGHTSHADE
 hp64
Important perennial medicinal plant, will grow to approx. 80 cm in height. Flowers from 2nd year onwards. Loves full sun. Owing to fungal infection risk (fusarium), maintain long term crop rotation. Cultivation and transplanting in small clumps is recommended.
Positive for pollinators: Yes"
en,medicinal-plants,5,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.,,,,,,,,BLACK,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"HENBANE
hp46
Solanaceous plant about 60 cm high, producing dainty, funnel-shaped flowers and attractive seed heads with small capsules in autumn. Since ancient times it has been used as a medicinal and poisonous plant and also as a 'witch plant' because of its intoxicating effect."
en,medicinal-plants,6,0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,CHAMOMILE,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"MATRICARIA
 kr21
Annual, if sown in August biennial plant for medicinal use or for tea. Grows to approx. 50 cm in height. Can be directly sown, but propagation and later transplanting in small clumps is highly recommended.
Positive for pollinators: Yes"
en,medicinal-plants,7,0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,whole plant,pollinators: Yes; ,,,COTTON,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"THISTLE
 hp58
Biennial Mediterranean composite plant which can reach heights of up to 3 m. The flower base and stems are edible. Roots and leaves are used as a tea in naturopathy. Good insect pasture, seeds rich in oil which serve as food for birds. Pre-sow or sow directly.
Use: whole plant
Positive for pollinators: Yes"
en,medicinal-plants,8,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,DANDELION,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"kr31
Natural, wild variety. Strong-tasting salad leaves from 2nd year on. Can be blanched and forced. Flowers from the 2nd year onwards. Medicinal herb, used for biodynamic preparations.
Positive for pollinators: Yes"
en,medicinal-plants,9,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.,,,,flowering herb,,,,DEADLY,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,"NIGHTSHADE
hp22
Persistent, herbaceous member of the solanum family, all parts of the plant are highly poisonous. This decorative wild and medicinal plant, up to 1.5 m high, with its black cherry-shaped berries, does well in shadier locations. Propagate from April on.
Use: flowering herb"
en,medicinal-plants,10,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.,,,,"leaves, seeds",,,,NEW,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"DWARF NETTLE
hp74
Annual medicinal plant with a variety of uses, also like spinach in the kitchen. More piquant than its big sibling. Provides nutrient-rich material for mulching.
Use: leaves, seeds"
en,medicinal-plants,11,0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,"leaves and flowers as tea or tincture, roots",pollinators: Yes; ,,,ECHINACEA,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"ANGUSTIFOLIA
 hp44
This perennial herbaceous ornamental plant has a compact growth and is hardy. In contrast to the purple coneflower, this species is only 15-40 cm tall and prefers dry locations. In modern naturopathy, echinacea is considered to strengthen the immune system.
Use: leaves and flowers as tea or tincture, roots
Positive for pollinators: Yes"
en,medicinal-plants,12,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,FIELD,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"MARIGOLD
 hp25
Wild form with small golden yellow flowers. Flowers tirelessly. Almost extinct in Switzerland. Best sown directly.
Positive for pollinators: Yes"
en,medicinal-plants,13,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.,,,,"Root (cooking, smoking)",,,,GEUM,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0,"URBANUM
hp45
Native wild perennial with inconspicuous, yellow flowers. Grows in partially shaded locations and is up to 40 cm high. Rootstock with clove aroma for use in the kitchen, smoking or in naturopathy as a strengthening tonic. Aromatic, edible leaves.
Use: Root (cooking, smoking)"
en,medicinal-plants,14,1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.,,,,,,,,GREATER,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"BURDOCK
hp18
Biennial, about 1.5 m high, with many uses. During the first year the roots can be used as a vegetable. The seeds and root extracts have medical uses. Can grow very tall and wide with a good supply of nutrients."
en,medicinal-plants,15,null,null,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"Hortus officinarium: The non-profit association Hortus officinarum has been committed to the maintenance and breeding of medicinal plants using bio-dynamic methods. The aim of Hortus officinarum is to provide high-quality varieties of medicinal plant species from top sources – pure lines and with strong vitality.
Bee-friendly: This plant has a good nectar or pollen supply, which is especially good for honey and wild bees, as well as other pollinating insects. There are 500 different kinds of wild bees alone. Some crops are best approached by specialists, others by generalists.",,,,,pollinators: Yes; ,,,GREATER,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0,"CELANDINE
 hp30
Yellow flowering ruderal plant, whose milky sap is also used in the treatment of warts. Prefers nutrient-rich soil, sun or semi-shade.
Positive for pollinators: Yes"
