temperature,hydrometry_rate,sunshine_rate,rainfall,humidity_rate,soil_type,moisture,water_level,suitable_plantation_location,seed_name,plant_name
25,70,100,80,80,Loamy,6,4,China/Beijing,bamboo orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,bamboo orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,bamboo orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,bamboo orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,bamboo orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,black orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,black orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,black orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,black orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,black orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,ophrys bee,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,ophrys bee,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,ophrys bee,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,ophrys bee,orchid
20,30,10,10,80,Loamy,6,2,Greece,ophrys bee,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,pyramidal orchid,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,pyramidal orchid,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,pyramidal orchid,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,pyramidal orchid,orchid
20,30,10,10,80,Loamy,6,2,Greece,pyramidal orchid,orchid
25,70,100,80,80,Loamy,6,4,China/Beijing,sabot of venus,orchid
20,60,80,70,70,Sandy,2,2,Japan/Tokyo,sabot of venus,orchid
25,70,100,80,80,Loamy,6,4,India/Bangalore,sabot of venus,orchid
20,60,80,70,70,Sandy,2,2,Brazil/Rio de Janeiro,sabot of venus,orchid
20,30,10,10,80,Loamy,6,2,Greece,sabot of venus,orchid
25,80,70,40,60,Loamy,6,4,Thailand/Bangkok,male orchid,orchid
28,75,80,50,65,Loamy,6,4,Malaysia/Kuala Lumpur,male orchid,orchid
22,70,60,60,70,Sandy,6,2,Indonesia/Jakarta,male orchid,orchid
