seedId,temperature,hydrometry_rate,sunshine_rate,rainfall,humidity_rate,soil_type,moisture,water_level,suitable_plantation_location,seed_name,plant_name,season,soil_num,humidity_rate_tens,rainfall_tens,hydrometry_rate_tens,sunshine_rate_tens
1,25,70,100,80,80,Loamy,6,4,China/Beijing,bamboo orchid,orchid,11,17,8,8,7,10
2,20,60,80,70,70,Sandy,2,2,Japan/Tokyo,bamboo orchid,orchid,10,31,7,7,6,8
26,25,80,70,40,60,Loamy,6,4,Thailand/Bangkok,male orchid,orchid,11,17,6,4,8,7
27,28,75,80,50,65,Loamy,6,4,Malaysia/Kuala Lumpur,male orchid,orchid,11,17,6,5,8,8
30,24,70,75,45,60,Loamy,6,4,Philippines/Manila,male orchid,orchid,10,17,6,4,7,8
52,25,60,70,50,80,Sandy,6,4,Ecuador/Quito,epidendrum ibaguense,orchid,11,31,8,5,6,7
55,18,75,85,65,65,Loamy,6,2,Argentina/Buenos Aires,epidendrum ibaguense,orchid,9,17,6,6,8,8
76,23,75,60,90,85,Clay,8,4,United States/Louisiana,swamp epipactis,orchid,10,5,8,9,8,6
77,20,80,70,75,80,Silt,6,2,Canada/Ontario,swamp epipactis,orchid,10,38,8,8,8,7
78,25,70,90,85,75,Peaty,6,4,Netherlands/Amsterdam,swamp epipactis,orchid,11,26,8,8,7,9
79,22,65,75,80,80,Muddy,8,4,Australia/Melbourne,swamp epipactis,orchid,10,22,8,8,6,8
80,21,70,65,70,75,Loam,6,2,United Kingdom/London,swamp epipactis,orchid,10,16,8,7,7,6
82,18,65,75,75,75,Clay,6,4,United Kingdom,crimson dactylorhiza,orchid,9,5,8,8,6,8
83,22,55,90,85,80,Silt,6,4,Sweden,crimson dactylorhiza,orchid,10,38,8,8,6,9
93,18,75,90,70,70,Loamy,6,4,Germany,red cephalanther,orchid,9,17,7,7,8,9
98,15,50,70,60,60,Loamy,6,1,India/Bangalore,broad-leaved helleborine,orchid,9,17,6,6,5,7
130,20,70,90,75,75,Loamy,6,2,Indonesia/Jakarta,formosa orchid,orchid,10,17,8,8,7,9
160,20,70,60,70,80,Loamy,6,2,Thailand/Bangkok,helmeted orchid,orchid,10,17,8,7,7,6
168,15,60,40,70,80,Sandy,6,2,France,serapias in heart,orchid,9,31,8,7,6,4
198,24,70,80,80,80,Clayey,6,4,Italy/Rome,damask cephalanthera,orchid,10,8,8,8,7,8
249,15,30,40,60,70,Loamy,6,2,Germany/Berlin,leafless epipogon,orchid,9,17,7,6,3,4
251,10,50,40,60,70,Sandy,2,2,Switzerland/Zurich,alpine orchid,orchid,8,31,7,6,5,4
252,5,60,30,50,80,Loamy,6,4,Austria/Vienna,alpine orchid,orchid,7,17,8,5,6,3
254,20,30,60,40,50,Sandy,2,1,France/Paris,alpine orchid,orchid,10,31,5,4,3,6
255,10,70,20,80,70,Loamy,6,4,Germany/Berlin,alpine orchid,orchid,8,17,7,8,7,2
256,20,40,60,60,60,Sandy,2,1,France,large-flowered ophrys,orchid,10,31,6,6,4,6
257,22,50,70,70,70,Loamy,6,2,Italy,large-flowered ophrys,orchid,10,17,7,7,5,7
276,30,60,70,50,70,Sandy,6,4,Brazil/Rio de Janeiro,cyrtopodium punctatum,orchid,12,31,7,5,6,7
278,20,40,50,30,50,Loamy,6,2,Colombia/Bogota,cyrtopodium punctatum,orchid,10,17,5,3,4,5
287,30,60,90,70,60,Sandy,6,2,India,chiloschista lunifera,orchid,12,31,6,7,6,9
288,20,80,80,60,70,Loamy,6,4,Malaysia,chiloschista lunifera,orchid,10,17,7,6,8,8
311,20,50,60,80,70,Loamy,6,4,United States/Seattle,cephalanthera austiniae,orchid,10,17,7,8,5,6
312,25,70,80,90,80,Sandy,6,4,France/Paris,cephalanthera austiniae,orchid,11,31,8,9,7,8
321,22,65,90,60,75,Loamy,6,2,China/Beijing,calanthe discolor,orchid,10,17,8,6,6,9
353,30,80,90,90,90,Loamy,6,4,India/Bangalore,calanthe vestita,orchid,12,17,9,9,8,9
373,18,75,90,70,75,Sandy,6,4,Malaysia/Kuala Lumpur,cymbidium eburneum,orchid,9,31,8,7,8,9
386,26,65,75,70,75,Loamy,6,2,China/Beijing,cymbidium floribundum,orchid,11,17,8,7,6,8
400,24,80,100,90,90,Loamy,6,4,South Africa/Cape Town,platanthera dilatata,orchid,10,17,9,9,8,10
408,20,60,70,50,80,Sandy,6,2,Ecuador/Quito,cattleya maxima,orchid,10,31,8,5,6,7
409,25,70,80,40,60,Loamy,16,4,Mexico/Mexico City,cattleya maxima,orchid,11,17,6,4,7,8
436,25,70,60,60,70,Loamy,6,2,Mexico/Cancun,broughtonia sanguinea,orchid,11,17,7,6,7,6
437,20,75,50,70,80,Sandy,6,4,Brazil/Rio de Janeiro,broughtonia sanguinea,orchid,10,31,8,7,8,5
440,21,75,55,65,70,Loamy,6,4,Peru/Lima,broughtonia sanguinea,orchid,10,17,7,6,8,6
464,22,70,85,75,65,Loamy,6,2,Peru,coryanthes speciosa,orchid,10,17,6,8,7,8
465,23,80,95,85,70,Loamy,6,4,Brazil,coryanthes speciosa,orchid,10,17,7,8,8,10
482,28,65,95,70,75,Loamy,6,4,Philippines/Manila,fragrant aerid,orchid,11,17,8,7,6,10
483,22,60,85,90,85,Loamy,6,4,Indonesia/Jakarta,fragrant aerid,orchid,10,17,8,9,6,8
507,20,40,70,40,70,Sandy,6,2,Germany/Berlin,narrow-lip epipactis,orchid,10,31,7,4,4,7
560,18,55,70,85,85,Clay,6,2,New Zealand/Auckland,tuberous calopogon,orchid,9,5,8,8,6,7
568,22,80,70,60,75,Sandy,6,4,Algeria,dune epipactis,orchid,10,31,8,6,8,7
569,28,65,95,70,80,Sandy,6,4,Egypt,dune epipactis,orchid,11,31,8,7,6,10
570,25,75,85,55,85,Sandy,6,4,United Arab Emirates,dune epipactis,orchid,11,31,8,6,8,8
572,30,50,90,70,70,Sandy,6,2,South Africa/Cape Town,eulophia streptopetala,orchid,12,31,7,7,5,9
586,30,70,80,60,80,Loamy,6,4,Thailand/Bangkok,arundina graminifolia,orchid,12,17,8,6,7,8
588,20,50,60,80,60,Loamy,6,2,Indonesia/Jakarta,arundina graminifolia,orchid,10,17,6,8,5,6
643,25,80,90,60,80,Sandy,6,4,India/Kashmir,saffron,perennial,11,31,8,6,8,9
644,15,60,70,40,60,Loamy,6,1,Greece/Crete,saffron,perennial,9,17,6,4,6,7
645,20,70,80,50,70,Sandy,6,2,Italy/Sardinia,saffron,perennial,10,31,7,5,7,8
648,22,55,90,50,65,Loamy,6,2,Sweden,lily of the valley,perennial,10,17,6,5,6,9
649,25,70,100,40,60,Loamy,6,4,United Kingdom,lily of the valley,perennial,11,17,6,4,7,10
658,18,75,50,65,70,Clay,6,4,France,artichoke,perennial,9,5,7,6,8,5
660,22,65,70,60,65,Sandy,6,4,Australia,artichoke,perennial,10,31,6,6,6,7
672,25,50,80,70,70,Loamy,6,4,Canada/Toronto,potato,perennial,11,17,7,7,5,8
704,20,70,70,80,70,Loamy,6,2,Germany,wild garlic,perennial,10,17,7,8,7,7
712,20,50,80,40,60,Sandy,6,2,Greece,oregano,perennial,10,31,6,4,5,8
721,15,60,50,40,70,Rocky,6,1,Switzerland/Alps,edelweiss,perennial,9,30,7,4,6,5
722,20,70,60,50,70,Sandy,2,1,Austria/Innsbruck,edelweiss,perennial,10,31,7,5,7,6
723,18,65,70,45,75,Loamy,6,2,Italy/Dolomites,edelweiss,perennial,9,17,8,4,6,7
725,14,58,48,38,68,Rocky,6,1,France/Chamonix,edelweiss,perennial,8,30,7,4,6,5
728,28,55,70,60,80,Loamy,6,4,Brazil,turmeric,perennial,11,17,8,6,6,7
730,27,75,85,70,60,Loamy,6,4,Nigeria,turmeric,perennial,11,17,6,7,8,8
736,20,40,70,60,70,Loamy,6,4,United States/New York,chive,perennial,10,17,7,6,4,7
